"name","population"
"강릉시",1533
"고성군",392
"동해시",543
"삼척시",731
"속초시",700
"양구군",240
"양양군",251
"영월군",284
"원주시",2436
"인제군",313
"정선군",325
"철원군",501
"춘천시",2767
"태백시",263
"평창군",285
"홍천군",674
"화천군",174
"횡성군",489
"가평군",994
"고양시덕양구",4122
"고양시일산동구",3931
"고양시일산서구",3251
"과천시",310
"광명시",4444
"광주시",9106
"구리시",1404
"군포시",5360
"김포시",11687
"남양주시",5325
"동두천시",2491
"부천시",4
"부천시소사구",4797
"부천시오정구",3006
"부천시원미구",8198
"성남시",1
"성남시분당구",3426
"성남시수정구",8787
"성남시중원구",3442
"수원시권선구",6178
"수원시영통구",5944
"수원시장안구",5037
"수원시팔달구",10538
"시흥시",20960
"안산시단원구",36375
"안산시상록구",7090
"안성시",7311
"안양시",1
"안양시동안구",2144
"안양시만안구",4673
"양주시",7011
"양평군",1138
"여주군",2379
"연천군",729
"오산시",4954
"용인시기흥구",4816
"용인시수지구",1934
"용인시처인구",7349
"의왕시",1246
"의정부시",3613
"이천시",4422
"파주시",7925
"평택시",13032
"포천시",10586
"하남시",1621
"화성시",23167
"화성시",1992
"거제시",9028
"거창군",433
"고성군",1647
"김해시",15470
"남해군",676
"밀양시",1212
"사천시",2647
"산청군",388
"양산시",4310
"의령군",698
"진주시",3907
"진주시",1
"창녕군",1331
"창원시",2
"마산합포구",1683
"마산회원구",2296
"성산구",4364
"의창구",3566
"진해구",2698
"통영시",3692
"하동군",429
"함안군",3018
"함양군",441
"합천군",434
"경산시",6460
"경주시",6572
"고령군",1446
"구미시",5343
"군위군",434
"김천시",1548
"문경시",571
"봉화군",249
"상주시",810
"성주군",1140
"안동시",1418
"영덕군",538
"영양군",175
"영주시",827
"영천시",2171
"예천군",398
"울릉군",124
"울진군",837
"의성군",490
"청도군",670
"청송군",216
"칠곡군",3198
"남구",2696
"북구",1736
"광산구",7054
"남구",1072
"동구",1078
"북구",3910
"서구",1378
"남구",901
"달서구",7773
"달성군",3302
"동구",1552
"북구",4351
"서구",1962
"수성구",1378
"중구",703
"대덕구",1920
"동구",3140
"서구",3326
"유성구",4640
"중구",1545
"강서구",4550
"금정구",2374
"기장군",1498
"남구",3498
"동구",1378
"동래구",1038
"부산진구",2301
"북구",1148
"사상구",3953
"사하구",4043
"서구",1212
"수영구",1012
"연제구",790
"영도구",1657
"중구",1259
"해운대구",3338
"강남구",5800
"강동구",4823
"강북구",3336
"강서구",6363
"관악구",17491
"광진구",12956
"구로구",26958
"금천구",17446
"노원구",3640
"도봉구",2184
"동대문구",12425
"동작구",10777
"마포구",8932
"서대문구",9620
"서초구",4954
"성동구",7264
"성북구",8782
"송파구",7035
"양천구",4622
"영등포구",35468
"용산구",12062
"은평구",4422
"종로구",7941
"중구",7447
"중랑구",4360
"남구",4630
"동구",4264
"북구",2175
"울주군",6225
"중구",1953
"강화군",606
"계양구",2924
"남구",6677
"남동구",10839
"동구",1052
"부평구",7746
"서구",9768
"연수구",3887
"옹진군",120
"중구",3686
"강진군",313
"고흥군",592
"곡성군",421
"광양시",1387
"구례군",205
"나주시",1608
"담양군",749
"목포시",2142
"무안군",1467
"보성군",332
"순천시",1653
"신안군",382
"여수시",2998
"영광군",578
"영암군",4026
"완도군",645
"장성군",1115
"장흥군",342
"진도군",403
"함평군",524
"해남군",882
"화순군",838
"고창군",608
"군산시",4421
"김제시",1653
"남원시",797
"무주군",189
"부안군",484
"순창군",288
"완주군",1937
"익산시",3737
"임실군",308
"장수군",299
"전주시덕진구",2954
"전주시완산구",2223
"정읍시",1842
"진안군",290
"서귀포시",2979
"제주시",5757
"계룡시",153
"공주시",1859
"금산군",1089
"논산시",3268
"당진시",1904
"당진시",1997
"보령시",1879
"부여군",867
"서산시",2899
"서천군",916
"아산시",11237
"세종시",89
"예산군",1422
"천안시동남구",6180
"천안시서북구",7558
"청양군",450
"태안군",888
"홍성군",1575
"괴산군",603
"단양군",229
"보은군",374
"영동군",517
"옥천군",672
"음성군",5299
"제천시",1447
"증평군",428
"진천군",3109
"청원군",3206
"청주시",1
"청주시상당구",2426
"청주시흥덕구",3571
"충주시",2948
